[33mWARN[0m[2023-11-21 08:37:39] not enable search                            
[GIN] 2023/11/23 - 11:13:23 | 200 |    4.992571ms |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/23 - 11:13:23 | 200 |    1.347155ms |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:13:23 | 200 |     917.813µs |  192.168.15.118 | GET      "/assets/Layout.70cfabe1.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |     107.041µs |  192.168.15.118 | GET      "/assets/api.bb9abe10.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |      124.21µs |  192.168.15.118 | GET      "/assets/index.2ab40faa.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |     356.761µs |  192.168.15.118 | GET      "/assets/useUtil.af7d4a0c.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |     405.789µs |  192.168.15.118 | GET      "/assets/index.776b467d.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |      68.014µs |  192.168.15.118 | GET      "/assets/FolderTree.efac1cf1.js"
[GIN] 2023/11/23 - 11:13:23 | 200 |   34.792916ms |  192.168.15.118 | GET      "/assets/EncodingSelect.827c331f.js"
[31mERRO[0m[2023-11-23 11:13:24] failed list /: storage not found; please add a storage first
failed get storage 
[GIN] 2023/11/23 - 11:13:24 | 200 |    1.066294ms |  192.168.15.118 | POST     "/api/fs/get"
[31mERRO[0m[2023-11-23 11:13:24] failed list /: storage not found; please add a storage first
failed get storage 
[GIN] 2023/11/23 - 11:13:24 | 200 |     600.669µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:04 | 200 |     644.276µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:04 | 200 |    4.339389ms |  192.168.15.118 | GET      "/assets/index.599afcb4.js"
[GIN] 2023/11/23 - 11:15:04 | 200 |     108.541µs |  192.168.15.118 | GET      "/assets/Profile.0c88b3a4.js"
[GIN] 2023/11/23 - 11:15:06 | 200 |       76.11µs |  192.168.15.118 | GET      "/assets/DeletePopover.548c3b68.js"
[GIN] 2023/11/23 - 11:15:06 | 200 |     213.417µs |  192.168.15.118 | GET      "/assets/Storages.e7e027b7.js"
[GIN] 2023/11/23 - 11:15:06 | 200 |     232.391µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:15:06 | 200 |    1.353393ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:15:09 | 200 |     107.652µs |  192.168.15.118 | GET      "/assets/ResponsiveGrid.f2f899e4.js"
[GIN] 2023/11/23 - 11:15:09 | 200 |      78.801µs |  192.168.15.118 | GET      "/assets/item_type.be442da4.js"
[GIN] 2023/11/23 - 11:15:09 | 200 |     233.888µs |  192.168.15.118 | GET      "/assets/AddOrEdit.957d95b3.js"
[GIN] 2023/11/23 - 11:15:09 | 200 |    3.036928ms |  192.168.15.118 | GET      "/api/admin/driver/list"
[GIN] 2023/11/23 - 11:15:30 | 200 |    6.674408ms |  192.168.15.118 | POST     "/api/admin/storage/create"
[GIN] 2023/11/23 - 11:15:30 | 200 |     223.492µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:15:30 | 200 |    1.272673ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:15:32 | 200 |      157.86µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:32 | 200 |     195.168µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:15:32 | 200 |      142.32µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:15:32 | 200 |     146.058µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:33 | 200 |     333.776µs |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:15:33 | 200 |     604.415µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:33 | 200 |       55.79µs |  192.168.15.118 | GET      "/assets/Paginator.fd0c4c55.js"
[GIN] 2023/11/23 - 11:15:33 | 200 |     620.574µs |  192.168.15.118 | GET      "/assets/Folder.b511ba9e.css"
[GIN] 2023/11/23 - 11:15:33 | 200 |      155.82µs |  192.168.15.118 | GET      "/assets/icon.16739855.js"
[GIN] 2023/11/23 - 11:15:33 | 200 |     5.35518ms |  192.168.15.118 | GET      "/assets/Folder.afefb5f5.js"
[GIN] 2023/11/23 - 11:15:33 | 200 |      86.069µs |  192.168.15.118 | GET      "/assets/List.abfd2834.js"
